pair_id,id_1,id_2,text_1,text_2,jaccard,class
69,28,4133,В Альпах разбился снегоход с российскими туристами.,Группа туристов разбилась на снегоходе в Альпах.,0.744444,1
70,120,4230,Число погибших при взрыве в университете Алеппо превысило 80.,В Университете Алеппо произошел взрыв.,0.585845,0
71,24,4134,"Генконсул РФ назвал имена россиян, погибших в Альпах.",Стали известны имена погибших в Альпах россиян.,0.632644,1
72,272,4374,Французские и малийские военнослужащие выбили исламистов из Тимбукту.,Французские и малийские войска вошли в Тимбукту.,0.56598,1
73,23,4135,У берегов Аляски произошло землетрясение магнитудой 7.5.,"У берегов Аляски произошло землетрясение магнитудой 7,7.",0.85,0
74,204,4306,Принц Гарри закончил военную службу в Афганистане.,Британский принц Гарри завершил службу в Афганистане.,0.85,1
75,271,4375,Единоросс получил более 90% голосов на выборах мэра Кемерово.,Единорос набрал 90 процентов голосов на выборах мэра Кемерово.,0.742857,1
76,195,4307,В Мали режим чрезвычайного положения продлили на 3 месяца.,Власти Мали продлили на три месяца режим чрезвычайного положения.,0.815147,1
77,22,4136,Жерар Депардье прибыл в Сочи за российским паспортом.,Депардье прилетел в Сочи за российским паспортом.,0.813759,1
78,114,4231,Россия даст Бангладеш $500 млн на строительство первой в стране АЭС.,"""Росатом"" назвал дату строительства АЭС в Бангладеш.",0.517115,-1
79,276,4376,Бразилия скорбит по 233 жертвам пожара в клубе Kiss.,В Бразилии объявили трехдневный траур по жертвам пожара в клубе.,0.585714,1
80,32,4137,Режим ЧС введен в Якутии из-за нашествия волков.,В Якутии ввели режим ЧС из-за волков.,0.916788,1
81,31,4138,На трассе в Пермском крае в результате ДТП погибло 5 человек.,В Колумбии в ДТП погибли 11 человек.,0.490153,-1
82,29,4139,У гражданина Таджикистана в Москве изъяли 13 кг. героина.,В Москве у таджика изъяли 13 килограммов героина.,0.802377,1
83,200,4308,Pussy Riot сразятся за британскую премию с Rolling Stones и Д.Боуи.,Pussy Riot выдвинуты на соискание премии NME.,0.533333,0
84,281,4377,Шесть моряков с перевернувшегося в Японском море судна погибли.,В Японском море найдены тела шести погибших моряков с «Шанса-101».,0.584634,0
85,203,4308,Группу Pussy Riot выдвинули на престижную британскую премию.,Pussy Riot выдвинуты на соискание премии NME.,0.566667,0
86,279,4378,Возбуждено уголовное дело о строительстве дороги к даче зятя А.Сердюкова.,По факту строительства дороги к даче зятя Сердюкова возбудили дело.,0.89875,1
87,30,4140,Скончалась старейшая жительница США.,Скончался старейший гражданин США.,0.775,0
88,199,4309,McDonald’s заплатит штраф в $700 тыс. за продажу нехаляльного бургера.,McDonald's согласился заплатить мусульманам 700 тысяч долларов.,0.421857,0
89,277,4379,Минобрнауки предлагает выплачивать усыновителям инвалидов 100 тыс. руб.,Минобрнауки предложило увеличить выплаты усыновителям инвалидов.,0.552607,1
90,210,4310,КамАЗ оставил без газа более 20 тыс. человек в Грозном.,В Грозном «КамАЗ» оставил без газа более 20 тысяч человек.,1.042857,1
91,37,4141,Боевики на Северном Кавказе готовили теракты на Рождество.,Убитые в Кабардино-Балкарии боевики готовили серию терактов на Рождество.,0.617213,0
92,34,4142,Хиллари Клинтон возвращается к работе после болезни.,Хиллари Клинтон вернулась на работу.,0.816165,1
93,209,4311,В Подмосковье маршрутка попала в ДТП: 5 пострадавших.,В ДТП с маршруткой в Подмосковье пострадали 10 человек.,0.622222,0
95,108,4233,Президент присвоил главе ФМС ранг министра.,Глава ФМС стал федеральным министром.,0.595856,1
96,275,4380,В Киргизии ужесточили наказание за кражу невест.,В Киргизии увеличили срок заключения за кражу невест.,0.56598,1
97,198,4312,В московском метро появятся киоски-сталинки.,В московском метро появятся киоски в стиле сталинского ампира.,0.566947,1
98,35,4144,Дворник лопатой сломал московскому школьнику челюсть.,Московский дворник сломал школьнику челюсть за брошенный снежок.,0.771517,1
99,33,4145,Барак Обама определился с кандидатурой на пост главы ЦРУ.,Обама нашел кандидата на пост главы ЦРУ.,0.726629,1
100,36,4146,Пожар в колонии в Вологодской области унес жизни 3 заключенных.,При пожаре в вологодской колонии погибли трое заключенных.,0.603331,1
101,39,4146,Пожар в колонии в Вологодской обл.: есть погибшие.,При пожаре в вологодской колонии погибли трое заключенных.,0.5925,1
102,45,4147,Авиакатастрофа в Перу унесла жизни семи человек.,При крушении вертолета в Перу погибли семь человек.,0.516667,1
103,112,4234,"Renault сократит 7,5 тыс. сотрудников из-за кризиса.","Renault сократит 7,5 тысячи рабочих мест во Франции.",0.648074,1
104,44,4148,"В Перу российский турист отравился ""лианой мертвых"".",В Перу найден мертвым российский турист.,0.748554,0
105,40,4149,Япония заявила протест Китаю в связи с территориальным спором.,Новое правительство Японии впервые выразило протест Китаю.,0.493771,0
106,43,4150,"""Лайнер мечты"" стоимостью $200 млн загорелся в аэропорту Бостона.","В аэропорту Бостона загорелся ""Лайнер мечты"".",0.790569,1
107,135,4235,Велоспорт могут исключить из олимпийской программы.,Велоспорту грозит исключение из программы Олимпийских игр.,0.5532,1
108,41,4151,"Итальянская Generali удвоит долю в ""Ингосстрахе"".","Итальянцы удвоят свою долю в ""Ингосстрахе"".",0.663367,1
109,134,4236,Штат Нью-Йорк ограничил торговлю оружием.,Штат Нью-Йорк ужесточил закон о контроле за оборотом оружия.,0.523996,1
110,207,4314,В Челябинске возбуждено уголовное дело о клевете на Ф.Вяткина.,Возбуждено дело о клевете на главу Челябинского облсуда.,0.5,1
111,143,4237,Неизвестный открыл огонь в бизнес-школе штата Миссури.,В Сент-Луисе преступник открыл огонь в бизнес-школе.,0.547723,1
112,42,4152,Следователи назвали окончательную причину смерти Эми Уайнхаус.,Повторное расследование подтвердило причину смерти Эми Уайнхаус.,0.6,0
113,139,4238,Мужчина и женщина скончались в результате стрельбы в колледже Кентукки.,В результате стрельбы в колледже в Кентукки погибли два человека.,0.585714,1
114,197,4315,Умер знаменитый тренер сборной СССР по биатлону В.Иерусалимский.,Умер бывший тренер сборной СССР по биатлону.,0.786947,1
115,282,4382,"В Петербурге у отделения полиции произошел взрыв, есть пострадавший.",У пункта полиции в Петербурге произошел взрыв.,0.723452,0
116,142,4239,В Новокузнецке скончался третий пострадавший при взрыве газа.,В Новокузнецке умер третий пострадавший при взрыве газа.,0.925,1
117,141,4240,В Москве автомобиль протаранил остановку: ранены 4 человека.,В Москве автомобиль врезался в остановку.,0.585845,1
118,52,4153,Гильдия режиссеров США объявила претендентов на премию.,Гильдия режиссеров США назвала претендентов на ежегодную премию.,0.879529,1
119,194,4316,"Литва заморозила счета российских чиновников из ""списка Магнитского"".",Литва заморозила связанные с делом Магнитского счета.,0.648074,1
120,140,4242,Главу подмосковного Красноармейска заподозрили в мошенничестве.,На главу подмосковного Красноармейска завели дело.,0.62,0
121,136,4243,"В ""ЕР"" определились с суммой штрафа за курение.",Депутаты определились с суммой штрафа за курение в общественных местах.,0.676123,1
122,133,4244,"Священнику, поддержавшему Pussy Riot, запретили служить в церкви.",Захотевший извиниться перед Pussy Riot священник запрещен в служении.,0.531244,0
123,280,4383,В Турции оползень накрыл футбольный стадион: 7 погибших.,В Турции оползень накрыл футбольный стадион.,0.836909,0
124,54,4155,Ан-24 с хоккеистами на борту выкатился за пределы ВПП в Саранске.,Самолет с хоккеистами выкатился за пределы ВПП в Саранске.,0.803326,0
125,55,4156,Apple выпустит пластиковый iPhone для бедных.,Apple приписали план выпустить пластиковый iPhone.,0.516398,1
126,206,4317,Взрыв газа в Красноярске: семеро пострадавших.,Семь человек пострадали при взрыве газа в Красноярске.,0.653616,1
127,196,4318,Сергею Филину в Большом театре нашли временную замену.,В Большом театре нашли временную замену Филину.,0.92582,1
128,50,4157,Дело о ДТП на Ленинском вернули в прокуратуру.,Дело о ДТП на Ленинском проспекте вернули в прокуратуру.,0.972208,1
129,11998,4246,В Лондоне вертолет столкнулся со строительным краном и разбился.,В центре Лондона вертолет врезался в строительный кран.,0.683333,1
130,51,4158,"Защита двух фигурантов ""болотного дела"" подала жалобы в ЕСПЧ.","Двое фигурантов ""болотного дела"" обратились в ЕСПЧ.",0.678387,0
131,205,4319,Тройной теракт в Ираке унес жизни 17 человек.,При тройном теракте в Ираке погибли 17 человек.,0.802377,1
132,202,4320,Право полицейских на проникновение в жилище решили ограничить.,Госдуме предложили ограничить полицию в праве проникать в жилище.,0.663504,0
133,274,4384,"Российские паспорта заменят ""пластиком"" с 2015г.",С 2015 года паспорта заменят пластиковыми картами.,0.446477,1
134,46,4159,Сирийские повстанцы обменяют 48 иранцев на 2 тыс. своих соратников.,Сирийские повстанцы обменяли 48 иранцев на 2130 своих соратников.,0.825222,1
136,144,4247,Не все единороссы поддержали губернаторский закон о митингах.,При падении вертолета в Лондоне погибли два человека.,0.0,-1
137,270,4385,Королева Нидерландов решила отречься от престола.,Королева Нидерландов отречется от престола.,0.916788,1
138,270,4386,Королева Нидерландов решила отречься от престола.,Королева Нидерландов назвала дату передачи престола.,0.56598,0
139,49,4161,Журналисты пронесли в здание польского парламента бомбу.,Польские журналисты пронесли три килограмма взрывчатки в парламент.,0.617213,0
140,137,4248,В центре Москвы убит криминальный авторитет Дед Хасан.,В Москве убили криминального авторитета Деда Хасана.,0.786947,1
141,193,4321,"МЧС эвакуирует из Сирии не только россиян, но и иностранцев.",В интернете нашли два миллиона сторонников Саакашвили.,0.0,-1
142,138,4249,Сомалийские боевики решили казнить французского разведчика.,Сомалийские боевики приговорили к смерти захваченного французского агента.,0.501486,1
143,48,4162,"Власти Италии арестовали водителя снегохода, разбившегося в Альпах.",В Италии арестовали водителя разбившегося снегохода с россиянами.,0.786947,1
144,129,4250,Власти Москвы согласовали антифашистское шествие.,Антифашистское шествие в Москвы согласовано окончательно.,0.916788,1
145,63,4163,В США миллионера осудили за попытку продать Ирану детали для ракет ПВО.,Миллионера осудили за попытку продать Ирану ракетные комплектующие.,0.705534,0
146,71,4164,Число пострадавших при аварии парома в Нью-Йорке выросло до 74.,Число пострадавших при крушении парома возросло до 74 человек.,0.617857,1
147,288,4387,На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,По факту дебоша в самолете Москва-Хургада завели дело.,0.561473,1
148,57,4165,"""Единая Россия"" назвала условия возвращения избирательных блоков.",Единорос Неверов назвал условия возвращения избирательных блоков.,0.714286,0
149,62,4166,Напротив Кремля разместили экстремистский баннер.,Напротив Кремля вывесили экстремистский баннер.,0.75,1
150,130,4251,Минюст: Россия выплатила 221 млн рублей по решениям ЕСПЧ.,"Россия заплатила 5,5 миллиона евро по решениям ЕСПЧ.",0.561249,1
151,132,8152,Осужденному за взрыв на Манежной площади отменили приговор.,Верховный суд отменил приговор за взрыв на Манежной площади.,0.771517,1
152,69,4167,"В Вильнюсе задержали хулигана, ""заминировавшего"" московские рейсы.",На наличие взрывчатки проверят еще два самолета в Москве.,0.0,-1
153,68,4168,В Южном Судане вновь обстреляли российский вертолет.,В Южном Судане снова обстреляли российский вертолет.,1.02,1
154,219,4322,У певицы Шакиры и футболиста Жерара Пике родился сын.,Шакира родила Пике сына.,0.590569,1
155,226,4322,"Суд Петербурга рассмотрит дело о гибели людей при взрыве в ресторане ""Харбин"".",Шакира родила Пике сына.,0.0,-1
156,60,4169,Мэрилин Мэнсон передумал выступать в России.,Мэрилин Мэнсон отменил тур по России.,0.66,1
157,131,4253,Задержан подозреваемый в убийстве 5-летнего Богдана Прахова.,Подозреваемый в убийстве пятилетнего Прахова признался в преступлении.,0.516667,-1
158,67,4170,В Париже расстреляли трех курдских активисток.,В Париже застрелены три курдских активистки.,0.82,1
159,212,4323,"Сотрудник Минобороны скончался после допроса по делу ""Оборонсервиса"".",Сотрудник Минобороны умер после допроса по делу «Оборонсервиса».,0.941667,1
160,58,4171,Россия обошла Гаити в рейтинге экономической свободы.,Россия поднялась на пять мест в рейтинге экономической свободы.,0.632644,0
161,285,4389,Опубликован список погибших в авиакатастрофе под Алма-Атой.,В авиакатастрофе под Алма-Атой погибли 20 человек.,0.62,0
162,290,4389,Под Алма-Атой разбился самолет: погибли 20 человек.,В авиакатастрофе под Алма-Атой погибли 20 человек.,0.766812,1
163,225,4324,В Петербурге проводится проверка по факту падения наледи на девушку.,Власти Петербурга пообещали сохранить 31-ю больницу.,0.169734,-1
164,70,4172,Стали известны причины столкновения парома с пирсом в Нью-Йорке.,Причиной аварии парома в Нью-Йорке стала техническая неисправность.,0.585714,0
165,286,4390,"В Греции скончался последний член хунты ""черных полковников"".",В Греции умер последний «черный полковник».,0.76909,1
166,291,4391,"Бразильские музыканты-""пиротехники"" признали вину за пожар в клубе Kiss.",Бразильская группа покаялась за пожар в клубе.,0.507093,0
167,218,4325,"Суд не стал снижать срок раскаявшемуся фигуранту ""болотного дела"".",Мосгорсуд подтвердил приговор Максиму Лузянину по «болотному делу».,0.201782,0
168,66,4173,В Швейцарии столкнулись два поезда: есть пострадавшие.,На севере Швейцарии столкнулись два пассажирских поезда.,0.683333,0
169,293,4392,"По факту избиения организатора спектакля ""Лолита"" в Петербурге возбудили дело.",В Петербурге возбудили дело об избиении организатора спектакля «Лолита».,0.922719,1
170,221,4326,"Прокуратура требует назначить 10 лет владельцу ""Хромой лошади"".",Прокурор потребовал 10 лет для владельца «Хромой лошади».,0.74165,1
171,61,4174,Первый дизайнер Facebook уволился из компании второй раз.,"Создатель кнопки ""Мне нравится"" второй раз уволился из Facebook.",0.547886,0
172,146,4254,"РФ обязали ежедневно выплачивать 50 тыс. долл. за ""список Шнеерсона"".",Россию обязали ежедневно выплачивать 50 тысяч долларов за библиотеку Шнеерсона.,0.775,1
173,147,4256,"США обвинили сирийские власти в ""кровавой атаке"" на университет.",США обвинили сирийские власти в нападении на университет в Алеппо.,0.771429,0
174,152,4257,МВД: Похищенный в Приморье металл не связан с саммитом АТЭС.,При строительства моста на саммит АТЭС похитили металл на 96 миллионов.,0.547886,-1
175,160,4257,Со строек саммита АТЭС похищен металл почти на 100 млн руб.,При строительства моста на саммит АТЭС похитили металл на 96 миллионов.,0.8875,1
176,65,4175,В центре Тель-Авива прогремел взрыв: есть раненые.,В центре Тель-Авива произошел взрыв.,0.67361,0
177,73,4176,"ОСК и ""Совкомфлот"" договорились о строительстве ледоколов для проектов на шельфе Сахалина.","""Индекс страха"" на биржах упал до минимума с начала кризиса.",0.0,-1
178,151,4258,Минфин не поддерживает идею создания ведомства по делам сирот.,В Госдуме предложили создать ведомство по делам сирот.,0.552186,-1
179,64,4177,СМИ: Взрыв в Тель-Авиве - попытка ликвидации криминального авторитета.,"Взрыв в Тель-Авиве был покушением на криминального ""авторитета"".",0.632644,1
180,155,4258,В России могут создать министерство по делам сирот.,В Госдуме предложили создать ведомство по делам сирот.,0.5,1
181,283,4393,В сирийском Алеппо найдено место массовой казни.,Повстанцы нашли в Алеппо место массовой казни.,0.85,0
182,217,4327,"СКР опроверг связь умершего топ-менеджера с делом ""Оборонсервиса"".",СК опроверг связь умершего топ-менеджера с делом «Оборонсервиса».,0.94125,1
183,284,4394,Подмосковье потратит на строительство дорог 100 млрд руб.,Подмосковье потратит 100 миллиардов рублей на строительство дорог.,1.028571,1
184,213,4328,Генпрокуратура просит лишить неприкосновенности 2 депутатов Госдумы.,Генпрокуратура попросила лишить неприкосновенности двух депутатов Госдумы.,0.742857,1
185,159,4259,"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда"".","В рамках дела ""Оборонсервиса"" обыскали ИД ""Красная звезда"".",0.683333,1
186,159,4260,"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда"".","ИД ""Красная звезда"" опроверг информацию об обыске.",0.5,-1
187,59,4179,"Названы номинанты на премию ""Оскар"".","Объявлены номинанты на ""Оскар"".",0.57735,1
188,287,4395,Обнаружен черный ящик разбившегося под Алма-Атой самолета.,На борту разбившегося под Алма-Атой самолета не было россиян.,0.516667,-1
189,289,4396,В Казахстане по факту крушения самолета возбуждено дело.,Названа основная версия крушения самолета под Алма-Атой.,0.333333,-1
190,56,4181,Рада Украины провалила отставку главы Нацбанка.,Верховная Рада провалила назначение нового главы Нацбанка.,0.632644,-1
191,153,4262,В Москве появится платная государственная скорая помощь.,Государственная «скорая» будет оказывать платные услуги.,0.53,0
192,149,4263,Потеря 14 млрд долл. стоила главе Rio Tinto его места.,Rio Tinto сменила гендиректора из-за потерь на 14 миллиардов долларов.,0.655138,1
193,158,4264,Сомалийские боевики казнили французского заложника.,Сомалийские боевики объявили о казни французского заложника.,0.748554,0
194,77,4182,Moody's понизило рейтинг Кипра на три ступени.,Moody's понизило рейтинг Кипра на три пункта.,0.866667,1
196,84,4183,"В главном офисе Роснедр прошли обыски по ""нефритовому делу"".",В главном офисе Роснедр прошли обыски.,0.862057,0
197,150,4266,"Европа вслед за США и Японией запретила полеты ""Лайнера мечты"".","В Европе запретили полеты ""Лайнеров мечты"".",0.779957,0
