id,text,agency,author,url,date
21,Корреспондента российского телеканала ранили в пригороде Дамаска.,РБК,,http://top.rbc.ru/incidents/04/01/2013/839346.shtml,2013-01-04
22,Жерар Депардье прибыл в Сочи за российским паспортом.,РБК,,http://top.rbc.ru/society/05/01/2013/839429.shtml,2013-01-05
23,У берегов Аляски произошло землетрясение магнитудой 7.5.,РБК,,http://top.rbc.ru/incidents/05/01/2013/839423.shtml,2013-01-05
24,"Генконсул РФ назвал имена россиян, погибших в Альпах.",РБК,,http://top.rbc.ru/incidents/05/01/2013/839415.shtml,2013-01-05
26,Во Флориде самолет упал на дом: 3 погибших.,РБК,,http://top.rbc.ru/incidents/05/01/2013/839401.shtml,2013-01-05
27,"Пожар в Покровской больнице: двое погибли, 50 — эвакуированы.",РБК,,http://top.rbc.ru/spb_sz/05/01/2013/839406.shtml,2013-01-05
28,В Альпах разбился снегоход с российскими туристами.,РБК,,http://top.rbc.ru/photoreport/05/01/2013/839420.shtml,2013-01-05
29,У гражданина Таджикистана в Москве изъяли 13 кг. героина.,РБК,,http://top.rbc.ru/society/06/01/2013/839443.shtml,2013-01-06
30,Скончалась старейшая жительница США.,РБК,,http://top.rbc.ru/society/06/01/2013/839438.shtml,2013-01-06
31,На трассе в Пермском крае в результате ДТП погибло 5 человек.,РБК,,http://top.rbc.ru/incidents/06/01/2013/839460.shtml,2013-01-06
32,Режим ЧС введен в Якутии из-за нашествия волков.,РБК,,http://top.rbc.ru/incidents/06/01/2013/839440.shtml,2013-01-06
33,Барак Обама определился с кандидатурой на пост главы ЦРУ.,РБК,,http://top.rbc.ru/politics/07/01/2013/839492.shtml,2013-01-07
34,Хиллари Клинтон возвращается к работе после болезни.,РБК,,http://top.rbc.ru/politics/07/01/2013/839475.shtml,2013-01-07
35,Дворник лопатой сломал московскому школьнику челюсть.,РБК,,http://top.rbc.ru/society/07/01/2013/839479.shtml,2013-01-07
36,Пожар в колонии в Вологодской области унес жизни 3 заключенных.,РБК,,http://top.rbc.ru/incidents/07/01/2013/839502.shtml,2013-01-07
37,Боевики на Северном Кавказе готовили теракты на Рождество.,РБК,,http://top.rbc.ru/incidents/07/01/2013/839470.shtml,2013-01-07
39,Пожар в колонии в Вологодской обл.: есть погибшие.,РБК,,http://top.rbc.ru/spb_sz/07/01/2013/839496.shtml,2013-01-07
40,Япония заявила протест Китаю в связи с территориальным спором.,РБК,,http://top.rbc.ru/politics/08/01/2013/839542.shtml,2013-01-08
41,"Итальянская Generali удвоит долю в ""Ингосстрахе"".",РБК,,http://top.rbc.ru/economics/08/01/2013/839538.shtml,2013-01-08
42,Следователи назвали окончательную причину смерти Эми Уайнхаус.,РБК,,http://top.rbc.ru/society/08/01/2013/839550.shtml,2013-01-08
43,"""Лайнер мечты"" стоимостью $200 млн загорелся в аэропорту Бостона.",РБК,,http://top.rbc.ru/incidents/08/01/2013/839536.shtml,2013-01-08
44,"В Перу российский турист отравился ""лианой мертвых"".",РБК,,http://top.rbc.ru/incidents/08/01/2013/839525.shtml,2013-01-08
45,Авиакатастрофа в Перу унесла жизни семи человек.,РБК,,http://top.rbc.ru/incidents/08/01/2013/839513.shtml,2013-01-08
46,Сирийские повстанцы обменяют 48 иранцев на 2 тыс. своих соратников.,РБК,,http://top.rbc.ru/politics/09/01/2013/839666.shtml,2013-01-09
47,"Россия направила Казахстану ""космическую"" ноту.",РБК,,http://top.rbc.ru/politics/09/01/2013/839626.shtml,2013-01-09
48,"Власти Италии арестовали водителя снегохода, разбившегося в Альпах.",РБК,,http://top.rbc.ru/society/09/01/2013/839687.shtml,2013-01-09
49,Журналисты пронесли в здание польского парламента бомбу.,РБК,,http://top.rbc.ru/society/09/01/2013/839684.shtml,2013-01-09
50,Дело о ДТП на Ленинском вернули в прокуратуру.,РБК,,http://top.rbc.ru/society/09/01/2013/839658.shtml,2013-01-09
51,"Защита двух фигурантов ""болотного дела"" подала жалобы в ЕСПЧ.",РБК,,http://top.rbc.ru/society/09/01/2013/839650.shtml,2013-01-09
52,Гильдия режиссеров США объявила претендентов на премию.,РБК,,http://top.rbc.ru/society/09/01/2013/839619.shtml,2013-01-09
54,Ан-24 с хоккеистами на борту выкатился за пределы ВПП в Саранске.,РБК,,http://top.rbc.ru/incidents/09/01/2013/839611.shtml,2013-01-09
55,Apple выпустит пластиковый iPhone для бедных.,РБК,,http://top.rbc.ru/retail/09/01/2013/839627.shtml,2013-01-09
56,Рада Украины провалила отставку главы Нацбанка.,РБК,,http://top.rbc.ru/politics/10/01/2013/839875.shtml,2013-01-10
57,"""Единая Россия"" назвала условия возвращения избирательных блоков.",РБК,,http://top.rbc.ru/politics/10/01/2013/839754.shtml,2013-01-10
58,Россия обошла Гаити в рейтинге экономической свободы.,РБК,,http://top.rbc.ru/economics/10/01/2013/839800.shtml,2013-01-10
59,"Названы номинанты на премию ""Оскар"".",РБК,,http://top.rbc.ru/society/10/01/2013/839867.shtml,2013-01-10
60,Мэрилин Мэнсон передумал выступать в России.,РБК,,http://top.rbc.ru/society/10/01/2013/839840.shtml,2013-01-10
61,Первый дизайнер Facebook уволился из компании второй раз.,РБК,,http://top.rbc.ru/society/10/01/2013/839835.shtml,2013-01-10
62,Напротив Кремля разместили экстремистский баннер.,РБК,,http://top.rbc.ru/society/10/01/2013/839724.shtml,2013-01-10
63,В США миллионера осудили за попытку продать Ирану детали для ракет ПВО.,РБК,,http://top.rbc.ru/society/10/01/2013/839720.shtml,2013-01-10
64,СМИ: Взрыв в Тель-Авиве - попытка ликвидации криминального авторитета.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839838.shtml,2013-01-10
65,В центре Тель-Авива прогремел взрыв: есть раненые.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839831.shtml,2013-01-10
66,В Швейцарии столкнулись два поезда: есть пострадавшие.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839796.shtml,2013-01-10
67,В Париже расстреляли трех курдских активисток.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839792.shtml,2013-01-10
68,В Южном Судане вновь обстреляли российский вертолет.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839775.shtml,2013-01-10
69,"В Вильнюсе задержали хулигана, ""заминировавшего"" московские рейсы.",РБК,,http://top.rbc.ru/incidents/10/01/2013/839758.shtml,2013-01-10
70,Стали известны причины столкновения парома с пирсом в Нью-Йорке.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839744.shtml,2013-01-10
71,Число пострадавших при аварии парома в Нью-Йорке выросло до 74.,РБК,,http://top.rbc.ru/incidents/10/01/2013/839718.shtml,2013-01-10
72,"В Петербурге экс-полицейский сядет на 6,5 лет за вымогательство 15 млн руб.",РБК,,http://top.rbc.ru/spb_freenews/10/01/2013/839808.shtml,2013-01-10
73,"ОСК и ""Совкомфлот"" договорились о строительстве ледоколов для проектов на шельфе Сахалина.",РБК,,http://top.rbc.ru/spb_freenews/10/01/2013/839799.shtml,2013-01-10
74,СК начал доследственную проверку в отношении Р.Адагамова.,РБК,,http://top.rbc.ru/politics/11/01/2013/839930.shtml,2013-01-11
75,"Внешний долг РФ вырос на $83,4 млрд за 2012г.",РБК,,http://top.rbc.ru/economics/11/01/2013/840019.shtml,2013-01-11
76,"Японскую экономику взбодрят вливанием 116,8 млрд долл.",РБК,,http://top.rbc.ru/economics/11/01/2013/839887.shtml,2013-01-11
77,Moody's понизило рейтинг Кипра на три ступени.,РБК,,http://top.rbc.ru/economics/11/01/2013/839881.shtml,2013-01-11
78,Главный нарколог РФ выступил против запрета курилок на работе.,РБК,,http://top.rbc.ru/society/11/01/2013/840008.shtml,2013-01-11
79,"Полиция предупреждает участников ""Марша против подлецов"" о провокациях.",РБК,,http://top.rbc.ru/society/11/01/2013/839990.shtml,2013-01-11
80,Профсоюзы раскритиковали идею о запрете курилок на работе.,РБК,,http://top.rbc.ru/society/11/01/2013/839947.shtml,2013-01-11
81,"Охранник Джастина Бибера заявил, что певец бил его.",РБК,,http://top.rbc.ru/society/11/01/2013/839886.shtml,2013-01-11
82,В грузинских горах нашли тела двух пропавших альпинистов из РФ.,РБК,,http://top.rbc.ru/incidents/11/01/2013/839976.shtml,2013-01-11
83,"Замминистра спорта Саратовской области получил взятку в 1,5 млн руб.",РБК,,http://top.rbc.ru/incidents/11/01/2013/839963.shtml,2013-01-11
84,"В главном офисе Роснедр прошли обыски по ""нефритовому делу"".",РБК,,http://top.rbc.ru/incidents/11/01/2013/839895.shtml,2013-01-11
85,В Мали прибывают иностранные войска.,РБК,,http://top.rbc.ru/incidents/11/01/2013/839894.shtml,2013-01-11
86,"""Снежную битву"" в Петербурге вновь запретили.",РБК,,http://top.rbc.ru/spb_freenews/11/01/2013/840004.shtml,2013-01-11
87,Пушка из нью-йоркского Центрального парка оказалась заряжена.,РБК,,http://top.rbc.ru/incidents/12/01/2013/840040.shtml,2013-01-12
88,Великобритания присоединилась к французской операции в Мали.,РБК,,http://top.rbc.ru/politics/13/01/2013/840078.shtml,2013-01-13
89,Жерар Депардье выступил против российских оппозиционеров.,РБК,,http://top.rbc.ru/society/13/01/2013/840068.shtml,2013-01-13
90,"В Москве завершился ""Марш против подлецов"".",РБК,,http://top.rbc.ru/society/13/01/2013/840067.shtml,2013-01-13
91,"В Москве проходит ""Марш против подлецов"".",РБК,,http://top.rbc.ru/society/13/01/2013/840061.shtml,2013-01-13
92,Спасательные работы на канатной дороге в Сочи завершены.,РБК,,http://top.rbc.ru/incidents/13/01/2013/840075.shtml,2013-01-13
93,В Сочи на канатной дороге оказались заблокированы 100 человек.,РБК,,http://top.rbc.ru/incidents/13/01/2013/840070.shtml,2013-01-13
94,В Сочи произошло землетрясение.,РБК,,http://top.rbc.ru/incidents/13/01/2013/840062.shtml,2013-01-13
95,"В Москве избит корреспондент ИД ""Коммерсантъ"".",РБК,,http://top.rbc.ru/incidents/13/01/2013/840057.shtml,2013-01-13
96,В Бенгази обстреляли автомобиль консула Италии.,РБК,,http://top.rbc.ru/incidents/13/01/2013/840056.shtml,2013-01-13
97,Комитет Госдумы одобрил штрафы за мат в СМИ.,РБК,,http://top.rbc.ru/politics/14/01/2013/840213.shtml,2013-01-14
98,В России может появиться Министерство возобновляемых ресурсов.,РБК,,http://top.rbc.ru/politics/14/01/2013/840086.shtml,2013-01-14
99,Fitch: Продажи Газпрома в Европе сократятся из-за слабой экономики.,РБК,,http://top.rbc.ru/economics/14/01/2013/840254.shtml,2013-01-14
100,"""Лаборатория Касперского"" вскрыла международную шпионскую сеть.",РБК,,http://top.rbc.ru/society/14/01/2013/840273.shtml,2013-01-14
101,Ребенок принца Уильяма родится в июле.,РБК,,http://top.rbc.ru/society/14/01/2013/840256.shtml,2013-01-14
102,Камбоджийские моряки отозвали заявление против С.Полонского.,РБК,,http://top.rbc.ru/society/14/01/2013/840251.shtml,2013-01-14
103,По факту смерти призывников от пневмонии завели дело.,РБК,,http://top.rbc.ru/society/14/01/2013/840226.shtml,2013-01-14
104,Бывший волгоградский вице-премьер признал получение взятки в 17 млн руб.,РБК,,http://top.rbc.ru/society/14/01/2013/840173.shtml,2013-01-14
105,Стюардесса разбившегося во Внуково Ту-204 выписана из больницы.,РБК,,http://top.rbc.ru/society/14/01/2013/840146.shtml,2013-01-14
106,В московском обменнике у мужчины украли 700 тыс. евро.,РБК,,http://top.rbc.ru/incidents/14/01/2013/840274.shtml,2013-01-14
107,Казахстанца посадили за неприличный жест в адрес VIP-кортежа.,РБК,,http://top.rbc.ru/incidents/14/01/2013/840099.shtml,2013-01-14
108,Президент присвоил главе ФМС ранг министра.,РБК,,http://top.rbc.ru/politics/15/01/2013/840434.shtml,2013-01-15
109,Работа Генконсульства РФ в сирийском Алеппо временно приостановлена.,РБК,,http://top.rbc.ru/politics/15/01/2013/840414.shtml,2013-01-15
110,"""Эсеры"" внесли в Госдуму законопроект об отмене ""закона Димы Яковлева"".",РБК,,http://top.rbc.ru/politics/15/01/2013/840396.shtml,2013-01-15
111,"Автор законов об ""иностранных агентах"" и митингах лишился поста в ОНФ.",РБК,,http://top.rbc.ru/politics/15/01/2013/840286.shtml,2013-01-15
112,"Renault сократит 7,5 тыс. сотрудников из-за кризиса.",РБК,,http://top.rbc.ru/economics/15/01/2013/840465.shtml,2013-01-15
113,Россияне стали брать ипотеку в полтора раза чаще.,РБК,,http://top.rbc.ru/economics/15/01/2013/840435.shtml,2013-01-15
114,Россия даст Бангладеш $500 млн на строительство первой в стране АЭС.,РБК,,http://top.rbc.ru/economics/15/01/2013/840428.shtml,2013-01-15
115,"Экономический ущерб от ""арабской весны"" составит $225 млрд.",РБК,,http://top.rbc.ru/economics/15/01/2013/840418.shtml,2013-01-15
116,Счетная палата проверит Газпром на непрофильные активы.,РБК,,http://top.rbc.ru/economics/15/01/2013/840376.shtml,2013-01-15
117,В Германии начался процесс по делу российских шпионов - супругов Аншлаг.,РБК,,http://top.rbc.ru/society/15/01/2013/840433.shtml,2013-01-15
118,"""Болотное дело"": в СКР на допрос ждут блогера Митю Алешковского.",РБК,,http://top.rbc.ru/society/15/01/2013/840406.shtml,2013-01-15
119,РЖД подало иск о взыскании 2 млн рублей с Apple.,РБК,,http://top.rbc.ru/society/15/01/2013/840404.shtml,2013-01-15
120,Число погибших при взрыве в университете Алеппо превысило 80.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840461.shtml,2013-01-15
121,Пропавший на Эльбрусе альпинист найден мертвым на высоте 5 км.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840407.shtml,2013-01-15
122,Житель Украины расстрелял посетителей кафе.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840349.shtml,2013-01-15
123,Из-под завалов обрушившегося дома в Чувашии извлечены все люди.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840318.shtml,2013-01-15
124,В Чувашии взрыв разрушил жилой дом.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840291.shtml,2013-01-15
125,В Приморье школьницы снегом потушили Вечный огонь.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840289.shtml,2013-01-15
126,В Приморье спустя 7 лет задержали убийцу кандидата в мэры Дальнегорска.,РБК,,http://top.rbc.ru/incidents/15/01/2013/840288.shtml,2013-01-15
127,Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.,РБК,,http://top.rbc.ru/economics/16/01/2013/840634.shtml,2013-01-16
128,Рост цен в Европе оказался втрое меньше российского.,РБК,,http://top.rbc.ru/economics/16/01/2013/840601.shtml,2013-01-16
129,Власти Москвы согласовали антифашистское шествие.,РБК,,http://top.rbc.ru/society/16/01/2013/840642.shtml,2013-01-16
130,Минюст: Россия выплатила 221 млн рублей по решениям ЕСПЧ.,РБК,,http://top.rbc.ru/society/16/01/2013/840626.shtml,2013-01-16
131,Задержан подозреваемый в убийстве 5-летнего Богдана Прахова.,РБК,,http://top.rbc.ru/society/16/01/2013/840616.shtml,2013-01-16
132,Осужденному за взрыв на Манежной площади отменили приговор.,РБК,,http://top.rbc.ru/society/16/01/2013/840615.shtml,2013-01-16
133,"Священнику, поддержавшему Pussy Riot, запретили служить в церкви.",РБК,,http://top.rbc.ru/society/16/01/2013/840496.shtml,2013-01-16
134,Штат Нью-Йорк ограничил торговлю оружием.,РБК,,http://top.rbc.ru/society/16/01/2013/840475.shtml,2013-01-16
135,Велоспорт могут исключить из олимпийской программы.,РБК,,http://top.rbc.ru/society/16/01/2013/840472.shtml,2013-01-16
136,"В ""ЕР"" определились с суммой штрафа за курение.",РБК,,http://top.rbc.ru/society/16/01/2013/840469.shtml,2013-01-16
137,В центре Москвы убит криминальный авторитет Дед Хасан.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840607.shtml,2013-01-16
138,Сомалийские боевики решили казнить французского разведчика.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840578.shtml,2013-01-16
139,Мужчина и женщина скончались в результате стрельбы в колледже Кентукки.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840518.shtml,2013-01-16
140,Главу подмосковного Красноармейска заподозрили в мошенничестве.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840514.shtml,2013-01-16
141,В Москве автомобиль протаранил остановку: ранены 4 человека.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840491.shtml,2013-01-16
142,В Новокузнецке скончался третий пострадавший при взрыве газа.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840488.shtml,2013-01-16
143,Неизвестный открыл огонь в бизнес-школе штата Миссури.,РБК,,http://top.rbc.ru/incidents/16/01/2013/840471.shtml,2013-01-16
144,Не все единороссы поддержали губернаторский закон о митингах.,РБК,,http://top.rbc.ru/spb_sz/16/01/2013/840521.shtml,2013-01-16
146,"РФ обязали ежедневно выплачивать 50 тыс. долл. за ""список Шнеерсона"".",РБК,,http://top.rbc.ru/politics/17/01/2013/840742.shtml,2013-01-17
147,"США обвинили сирийские власти в ""кровавой атаке"" на университет.",РБК,,http://top.rbc.ru/politics/17/01/2013/840705.shtml,2013-01-17
148,"Газпром доведет ""Южный поток"" до Хорватии.",РБК,,http://top.rbc.ru/economics/17/01/2013/840869.shtml,2013-01-17
149,Потеря 14 млрд долл. стоила главе Rio Tinto его места.,РБК,,http://top.rbc.ru/economics/17/01/2013/840791.shtml,2013-01-17
150,"Европа вслед за США и Японией запретила полеты ""Лайнера мечты"".",РБК,,http://top.rbc.ru/economics/17/01/2013/840700.shtml,2013-01-17
151,Минфин не поддерживает идею создания ведомства по делам сирот.,РБК,,http://top.rbc.ru/society/17/01/2013/840799.shtml,2013-01-17
152,МВД: Похищенный в Приморье металл не связан с саммитом АТЭС.,РБК,,http://top.rbc.ru/society/17/01/2013/840793.shtml,2013-01-17
153,В Москве появится платная государственная скорая помощь.,РБК,,http://top.rbc.ru/society/17/01/2013/840691.shtml,2013-01-17
154,Приставы соберут отпечатки пальцев российских должников.,РБК,,http://top.rbc.ru/society/17/01/2013/840690.shtml,2013-01-17
155,В России могут создать министерство по делам сирот.,РБК,,http://top.rbc.ru/society/17/01/2013/840681.shtml,2013-01-17
156,"Российский оппозиционер, бежавший в Нидерланды, покончил с собой.",РБК,,http://top.rbc.ru/incidents/17/01/2013/840883.shtml,2013-01-17
157,Из плена боевиков в Алжире сбежали 30 иностранных заложников.,РБК,,http://top.rbc.ru/incidents/17/01/2013/840824.shtml,2013-01-17
158,Сомалийские боевики казнили французского заложника.,РБК,,http://top.rbc.ru/incidents/17/01/2013/840784.shtml,2013-01-17
159,"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда"".",РБК,,http://top.rbc.ru/incidents/17/01/2013/840738.shtml,2013-01-17
160,Со строек саммита АТЭС похищен металл почти на 100 млн руб.,РБК,,http://top.rbc.ru/incidents/17/01/2013/840693.shtml,2013-01-17
161,Смольный: Отмена дорожных конкурсов не связана с Навальным.,РБК,,http://top.rbc.ru/spb_sz/17/01/2013/840833.shtml,2013-01-17
162,Место для музея Ольги Берггольц нашли в петербургской школе.,РБК,,http://top.rbc.ru/spb_sz/17/01/2013/840698.shtml,2013-01-17
163,"В Петербурге сотрудницу налоговой подозревают во взятке, в инспекции обыски.",РБК,,http://top.rbc.ru/spb_freenews/17/01/2013/840841.shtml,2013-01-17
164,Чиновники Петербурга отменили конкурсов на ремонт дорог без участия Навального.,РБК,,http://top.rbc.ru/spb_freenews/17/01/2013/840835.shtml,2013-01-17
166,Прокуратура Украины: Ю.Тимошенко причастна к убийству депутата.,РБК,,http://top.rbc.ru/society/18/01/2013/841099.shtml,2013-01-18
167,Госдума одобрила тестирование школьников на наркотики.,РБК,,http://top.rbc.ru/society/18/01/2013/841074.shtml,2013-01-18
168,Москва потребовала от Нидерландов расследовать смерть А.Долматова.,РБК,,http://top.rbc.ru/society/18/01/2013/841061.shtml,2013-01-18
169,"Второму фигуранту дела ""Кировлеса"" предъявлено обвинение.",РБК,,http://top.rbc.ru/society/18/01/2013/841053.shtml,2013-01-18
171,За 2 года в России выявили 20 тыс. коррупционных преступлений.,РБК,,http://top.rbc.ru/society/18/01/2013/841008.shtml,2013-01-18
172,Вода из прорванного трубопровода затопила Дмитровское шоссе.,РБК,,http://top.rbc.ru/incidents/18/01/2013/841103.shtml,2013-01-18
173,Исламисты продолжают удерживать 7 заложников в Алжире.,РБК,,http://top.rbc.ru/politics/19/01/2013/841112.shtml,2013-01-19
174,В московской подземке пассажир упал на рельсы.,РБК,,http://top.rbc.ru/incidents/19/01/2013/841127.shtml,2013-01-19
176,В Алжире нашли тела еще 25 убитых заложников.,РБК,,http://top.rbc.ru/incidents/20/01/2013/841156.shtml,2013-01-20
178,"На шахте в Кузбассе произошло задымление, четыре горняка погибли.",РБК,,http://top.rbc.ru/incidents/20/01/2013/841138.shtml,2013-01-20
179,Четверо альпинистов погибли в Шотландии из-за схода лавины.,РБК,,http://top.rbc.ru/incidents/20/01/2013/841134.shtml,2013-01-20
180,В Эритрее произошла попытка государственного переворота.,РБК,,http://top.rbc.ru/politics/21/01/2013/841393.shtml,2013-01-21
181,Губернатор Подмосковья назвал причину отставки мэра Жуковского.,РБК,,http://top.rbc.ru/politics/21/01/2013/841281.shtml,2013-01-21
182,ЕБРР повысил прогноз роста экономики РФ в 2013г.,РБК,,http://top.rbc.ru/economics/21/01/2013/841390.shtml,2013-01-21
183,Morgan Stanley взял на работу бывшего зампреда Банка России.,РБК,,http://top.rbc.ru/economics/21/01/2013/841365.shtml,2013-01-21
184,Россия перевыполнила план поставок оружия за рубеж.,РБК,,http://top.rbc.ru/economics/21/01/2013/841296.shtml,2013-01-21
185,РФ отправила за российскими гражданами в Сирию два самолета.,РБК,,http://top.rbc.ru/society/21/01/2013/841407.shtml,2013-01-21
186,"СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.",РБК,,http://top.rbc.ru/society/21/01/2013/841371.shtml,2013-01-21
188,В Абхазии отомстили за Деда Хасана.,РБК,,http://top.rbc.ru/society/21/01/2013/841343.shtml,2013-01-21
189,ФСБ создаст антихакерскую систему по поручению В.Путина.,РБК,,http://top.rbc.ru/society/21/01/2013/841241.shtml,2013-01-21
190,Глава управы района Северное Медведково задержан за взятку.,РБК,,http://top.rbc.ru/incidents/21/01/2013/841379.shtml,2013-01-21
192,Суд Петербурга оставил на потом дело о гибели подростка в полиции.,РБК,,http://top.rbc.ru/spb_sz/21/01/2013/841382.shtml,2013-01-21
193,"МЧС эвакуирует из Сирии не только россиян, но и иностранцев.",РБК,,http://top.rbc.ru/politics/22/01/2013/841649.shtml,2013-01-22
194,"Литва заморозила счета российских чиновников из ""списка Магнитского"".",РБК,,http://top.rbc.ru/politics/22/01/2013/841423.shtml,2013-01-22
195,В Мали режим чрезвычайного положения продлили на 3 месяца.,РБК,,http://top.rbc.ru/politics/22/01/2013/841417.shtml,2013-01-22
196,Сергею Филину в Большом театре нашли временную замену.,РБК,,http://top.rbc.ru/society/22/01/2013/841605.shtml,2013-01-22
197,Умер знаменитый тренер сборной СССР по биатлону В.Иерусалимский.,РБК,,http://top.rbc.ru/society/22/01/2013/841592.shtml,2013-01-22
198,В московском метро появятся киоски-сталинки.,РБК,,http://top.rbc.ru/society/22/01/2013/841491.shtml,2013-01-22
199,McDonald’s заплатит штраф в $700 тыс. за продажу нехаляльного бургера.,РБК,,http://top.rbc.ru/society/22/01/2013/841477.shtml,2013-01-22
200,Pussy Riot сразятся за британскую премию с Rolling Stones и Д.Боуи.,РБК,,http://top.rbc.ru/society/22/01/2013/841466.shtml,2013-01-22
201,Полицейским разрешат стрелять на поражение по гражданам с травматикой.,РБК,,http://top.rbc.ru/society/22/01/2013/841427.shtml,2013-01-22
202,Право полицейских на проникновение в жилище решили ограничить.,РБК,,http://top.rbc.ru/society/22/01/2013/841421.shtml,2013-01-22
203,Группу Pussy Riot выдвинули на престижную британскую премию.,РБК,,http://top.rbc.ru/society/22/01/2013/841419.shtml,2013-01-22
204,Принц Гарри закончил военную службу в Афганистане.,РБК,,http://top.rbc.ru/society/22/01/2013/841412.shtml,2013-01-22
205,Тройной теракт в Ираке унес жизни 17 человек.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841630.shtml,2013-01-22
206,Взрыв газа в Красноярске: семеро пострадавших.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841577.shtml,2013-01-22
207,В Челябинске возбуждено уголовное дело о клевете на Ф.Вяткина.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841524.shtml,2013-01-22
208,На Бали англичанку приговорили к казни за контрабанду наркотиков.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841464.shtml,2013-01-22
209,В Подмосковье маршрутка попала в ДТП: 5 пострадавших.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841430.shtml,2013-01-22
210,КамАЗ оставил без газа более 20 тыс. человек в Грозном.,РБК,,http://top.rbc.ru/incidents/22/01/2013/841410.shtml,2013-01-22
211,В Москве уволили четырех начальников районных ОВД.,РБК,,http://top.rbc.ru/politics/23/01/2013/841855.shtml,2013-01-23
